SUBJ_NUM,GROUP,TRIAL_RT
10,NT,0.285613280483095
10,NT,0.199031128859028
10,NT,0.222994344990241
10,NT,0.23178033360323
10,NT,0.25804815548133
10,NT,0.255610418973732
10,NT,0.218175653046481
10,NT,NaN
10,NT,0.223028991067728
10,NT,0.234660128395797
10,NT,0.258603455112157
10,NT,0.253404297910072
10,NT,NaN
11,NT,0.207364798038757
11,NT,0.238075302666778
11,NT,0.234522442686674
11,NT,0.164289057479981
11,NT,0.167125250264099
11,NT,0.153753664738979
11,NT,0.271696104878502
11,NT,0.265512684913129
11,NT,0.252747090584616
11,NT,NaN
11,NT,0.280847887227252
11,NT,0.256109395365787
11,NT,0.251207571393238
11,NT,0.237458725070231
11,NT,0.23985542185681
11,NT,0.209689635625738
11,NT,NaN
11,NT,0.246085357821922
11,NT,0.240469112253373
11,NT,0.247946960211497
12,NT,0.210449290021484
12,NT,NaN
12,NT,0.250581369796744
12,NT,0.324693868581714
12,NT,0.260715441739994
12,NT,0.273801194466713
12,NT,0.233224485893943
12,NT,0.251820299389806
12,NT,0.253244009781834
12,NT,NaN
12,NT,0.284769025605293
12,NT,0.284649367205964
12,NT,0.25603400736621
12,NT,0.265326300114173
12,NT,0.217373437182709
12,NT,0.239972834656152
12,NT,0.277896206443781
12,NT,0.251153356193541
12,NT,0.283939436809939
12,NT,0.295348688746047
13,NT,0.219246535220738
13,NT,0.20714250426501
13,NT,0.250761414154764
13,NT,0.226716317649089
13,NT,0.218523456432097
13,NT,0.189199628130909
13,NT,0.193479074022865
13,NT,0.231817327328849
13,NT,0.161479469246054
13,NT,NaN
13,NT,0.268240095520825
13,NT,0.284983186974573
13,NT,0.234533845155917
13,NT,0.254338312332824
13,NT,0.217111624245403
13,NT,0.226643496493357
13,NT,0.226254368467349
13,NT,0.197719061755548
13,NT,0.384563069857623
13,NT,0.276853202173984
14,NT,0.239310528014331
14,NT,0.196537883361681
14,NT,0.244712125460265
14,NT,0.301349019929899
14,NT,0.236319086264519
14,NT,NaN
14,NT,NaN
14,NT,0.258819219395706
14,NT,NaN
14,NT,NaN
14,NT,NaN
14,NT,0.191100356534945
14,NT,0.250462751176848
14,NT,0.267198143477566
14,NT,NaN
14,NT,0.250177882514774
14,NT,0.238207303544882
14,NT,0.248844004252499
14,NT,0.244442975902293
14,NT,0.283160733292998
15,NT,0.275101324061842
15,NT,0.265572018198232
15,NT,0.238505966522799
15,NT,0.264017430882458
15,NT,0.314655722748367
15,NT,0.248225826423878
15,NT,0.299603236980572
15,NT,0.435807349226524
15,NT,0.27917000563963
15,NT,0.248171290756589
