Subject,Group,Phase,Entropy
7,NT,Preparation,1.66829721688869
7,NT,Preparation,2.03281859740631
7,NT,Preparation,2.43880644071107
7,NT,Preparation,1.12237212906693
7,NT,Lift 1,2.0300370918753
7,NT,Lift 1,1.86691489196766
7,NT,Lift 1,1.9000471498015
7,NT,Lift 1,1.75304329343961
7,NT,Lift 1,1.41688238074495
7,NT,Lift 1,1.58397434504907
7,NT,Lift 1,1.34534974174526
7,NT,Lift 1,1.32550128106372
7,NT,Lift 1,1.74271901314573
7,NT,Lift 1,2.23730715469937
7,NT,Lift 1,2.13568345381181
7,NT,Lift 2,2.44108494333157
7,NT,Lift 2,2.48349208620693
7,NT,Lift 2,2.30414373746109
7,NT,Lift 2,2.47503925874625
7,NT,Lift 2,2.024519076205
7,NT,Lift 2,1.80428638799638
7,NT,Lift 2,2.12160559150447
7,NT,Lift 2,2.38582645247351
7,NT,Lift 2,1.10106528435835
7,NT,Lift 2,1.66169905951648
7,NT,Lift 2,2.21127766869842
8,NT,Preparation,1.60743276202704
8,NT,Preparation,1.72122738968894
8,NT,Preparation,1.63568981756335
8,NT,Preparation,1.75628482610076
8,NT,Preparation,2.019457058923
8,NT,Preparation,NaN
8,NT,Preparation,1.88473632289644
8,NT,Preparation,1.94869213903015
8,NT,Preparation,2.31253310727476
8,NT,Preparation,2.48526209324046
8,NT,Lift 1,2.33091418621201
8,NT,Lift 1,1.48233956181426
8,NT,Lift 1,1.45334743706145
8,NT,Lift 1,2.54547394729642
8,NT,Lift 1,1.79755103326293
8,NT,Lift 1,NaN
8,NT,Lift 1,2.06655149269352
8,NT,Lift 1,2.55873091081521
8,NT,Lift 1,2.17853638729253
8,NT,Lift 1,1.84834842714239
8,NT,Lift 2,2.19116023879391
8,NT,Lift 2,2.47833392788296
8,NT,Lift 2,2.45654597566575
8,NT,Lift 2,2.03949057648551
8,NT,Lift 2,1.51680398579924
8,NT,Lift 2,NaN
8,NT,Lift 2,1.90861642032779
8,NT,Lift 2,2.2156323583255
8,NT,Lift 2,2.13416325186721
8,NT,Lift 2,1.92453764387066
9,NT,Preparation,2.42612531450077
9,NT,Preparation,2.59510333217151
9,NT,Preparation,2.59510333217151
9,NT,Preparation,2.03359124757425
9,NT,Preparation,2.43204202559735
9,NT,Preparation,1.94125017224751
9,NT,Preparation,1.87050074646818
9,NT,Preparation,2.14182455287797
9,NT,Preparation,2.14561064986468
9,NT,Preparation,1.72122738968894
9,NT,Preparation,2.09368591287204
9,NT,Lift 1,2.17069668846052
9,NT,Lift 1,1.77996800766852
