Subject,Group,Trial,ReactionTime
34,ASD,2,0.249500000000001
34,ASD,3,0.216000000000001
34,ASD,4,0.2925
34,ASD,5,0.2455
34,ASD,6,0.204499999999999
34,ASD,7,0.221500000000006
34,ASD,8,0.1905
34,ASD,9,0.2545
34,ASD,10,0.265999999999998
34,ASD,11,0.274500000000003
34,ASD,12,0.22699999999999
35,ASD,1,0.241000000000001
35,ASD,2,0.173000000000002
35,ASD,3,0.0670000000000002
35,ASD,4,0.231999999999999
35,ASD,5,0.268000000000001
35,ASD,6,0.2425
35,ASD,7,0.0960000000000036
35,ASD,8,0.354500000000002
35,ASD,9,0.243500000000004
35,ASD,10,0.178999999999995
35,ASD,11,0.201499999999996
35,ASD,12,0.194000000000003
35,ASD,13,0.156000000000006
36,ASD,1,0.0625
36,ASD,2,0.2515
36,ASD,3,0.202000000000002
36,ASD,4,0.141999999999999
36,ASD,5,0.241999999999997
36,ASD,6,0.115000000000002
36,ASD,7,0.00850000000000151
36,ASD,8,NaN
36,ASD,9,NaN
36,ASD,10,0.209999999999994
36,ASD,11,0.117000000000004
37,ASD,1,0.212999999999999
37,ASD,2,0.294499999999999
37,ASD,3,0.164999999999999
37,ASD,4,0.23
37,ASD,5,0.386499999999998
37,ASD,6,0.3675
37,ASD,7,0.296499999999995
37,ASD,8,0.3065
37,ASD,9,0.304000000000002
37,ASD,10,0.36099999999999
37,ASD,11,0.304000000000002
38,ASD,1,0.2375
38,ASD,2,0.263999999999999
38,ASD,3,0.231000000000002
38,ASD,4,0.198999999999998
38,ASD,5,0.210999999999999
38,ASD,6,0.0664999999999978
38,ASD,7,0.177
38,ASD,8,0.245000000000005
38,ASD,9,0.123999999999995
